T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 32 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.787500 	 acc_minus 	 0.800000 	 acc_0 	 0.968125 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 9 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.655556 	 acc_minus 	 0.500000 	 acc_0 	 0.992593 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 10 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.690000 	 acc_minus 	 0.766667 	 acc_0 	 0.998396 	
T 	 400 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 8 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.550000 	 acc_minus 	 0.500000 	 acc_0 	 0.996316 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 16 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.806250 	 acc_minus 	 0.825000 	 acc_0 	 0.997778 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 17 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.958824 	 acc_minus 	 0.975000 	 acc_0 	 0.993296 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 14 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.642857 	 acc_minus 	 0.566667 	 acc_0 	 0.997268 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 14 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.685714 	 acc_minus 	 0.575000 	 acc_0 	 1.000000 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 8 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.525000 	 acc_minus 	 0.500000 	 acc_0 	 0.998421 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 18 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.811111 	 acc_minus 	 0.750000 	 acc_0 	 0.997191 	
T 	 2000 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 19 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.810526 	 acc_minus 	 0.660000 	 acc_0 	 0.998295 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 9 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.655556 	 acc_minus 	 0.900000 	 acc_0 	 0.996825 	
